dt,token_symbol,total_supply
2024-12-06 00:00:00.000 UTC,rsETH,406331.55314366054
2024-12-07 00:00:00.000 UTC,rsETH,406171.0407502043
2024-12-08 00:00:00.000 UTC,rsETH,405288.22830606805
2024-12-09 00:00:00.000 UTC,rsETH,398629.9259336749
2024-12-10 00:00:00.000 UTC,rsETH,465898.6278758325
2024-12-11 00:00:00.000 UTC,rsETH,466722.929078715
2024-12-12 00:00:00.000 UTC,rsETH,469066.3253317183
2024-12-13 00:00:00.000 UTC,rsETH,469535.4422027702
2024-12-14 00:00:00.000 UTC,rsETH,483137.02191004844
2024-12-15 00:00:00.000 UTC,rsETH,487111.8390890462
2024-12-16 00:00:00.000 UTC,rsETH,487406.1181142583
2024-12-17 00:00:00.000 UTC,rsETH,480645.347565621
2024-12-18 00:00:00.000 UTC,rsETH,480947.9679238772
2024-12-19 00:00:00.000 UTC,rsETH,482170.3172947038
2024-12-20 00:00:00.000 UTC,rsETH,499678.0228776666
2024-12-21 00:00:00.000 UTC,rsETH,500032.60649592587
